service,plan,effective_date,usd_per_month,source
netflix,standard,2011-09-01,7.99,https://about.netflix.com/en/news/netflix-introduces-new-plans-and-announces-price-changes
netflix,standard,2014-05-09,8.99,https://web.archive.org/web/2014*/netflix.com/getstarted
netflix,standard,2015-10-08,9.99,https://about.netflix.com/en/news
netflix,standard,2017-10-05,10.99,https://about.netflix.com/en/news
netflix,standard,2019-01-15,12.99,https://about.netflix.com/en/news
netflix,standard,2020-10-29,13.99,https://about.netflix.com/en/news
netflix,standard,2022-01-14,15.49,https://about.netflix.com/en/news
netflix,standard,2025-01-21,17.99,https://about.netflix.com/en/news/netflix-q4-2024-earnings
netflix,standard_with_ads,2022-11-03,6.99,https://about.netflix.com/en/news/announcing-basic-with-ads-us
netflix,standard_with_ads,2025-01-21,7.99,https://about.netflix.com/en/news/netflix-q4-2024-earnings
spotify,premium_individual,2011-07-14,9.99,https://newsroom.spotify.com
spotify,premium_individual,2023-07-24,10.99,https://newsroom.spotify.com/2023-07-24/price-updates-for-premium-subscribers/
spotify,premium_individual,2024-07-01,11.99,https://newsroom.spotify.com/2024-06-03/price-updates-for-us-premium-subscribers/
disney_plus,no_ads,2019-11-12,6.99,https://press.disneyplus.com
disney_plus,no_ads,2021-03-26,7.99,https://press.disneyplus.com
disney_plus,no_ads,2022-12-08,10.99,https://press.disneyplus.com
disney_plus,no_ads,2023-10-12,13.99,https://press.disneyplus.com
disney_plus,no_ads,2024-10-17,15.99,https://press.disneyplus.com
disney_plus,no_ads,2025-10-21,18.99,https://press.disneyplus.com
hulu,with_ads,2019-02-26,5.99,https://press.hulu.com
hulu,with_ads,2021-10-08,6.99,https://press.hulu.com
hulu,with_ads,2022-10-10,7.99,https://press.hulu.com
hulu,with_ads,2024-10-17,9.99,https://press.hulu.com
youtube_premium,individual,2018-05-17,11.99,https://blog.youtube/news-and-events/youtube-music-and-youtube-premium/
youtube_premium,individual,2023-07-20,13.99,https://support.google.com/youtube/answer/6306276
amazon_prime,annual_div_12,2014-03-13,8.25,https://press.aboutamazon.com
amazon_prime,annual_div_12,2018-05-11,9.92,https://press.aboutamazon.com
amazon_prime,annual_div_12,2022-02-18,11.58,https://press.aboutamazon.com
max_hbo,ad_free,2020-05-27,14.99,https://press.wbd.com
max_hbo,ad_free,2023-01-12,15.99,https://press.wbd.com
max_hbo,ad_free,2024-06-04,16.99,https://press.wbd.com
max_hbo,ad_free,2025-10-21,18.49,https://press.wbd.com
apple_tv_plus,standard,2019-11-01,4.99,https://www.apple.com/newsroom
apple_tv_plus,standard,2022-10-24,6.99,https://www.apple.com/newsroom
apple_tv_plus,standard,2023-10-25,9.99,https://www.apple.com/newsroom
apple_tv_plus,standard,2025-08-21,12.99,https://www.apple.com/newsroom
