vendor,plan,effective_date,usd_per_user_month,billing,source
microsoft_365,business_standard,2011-06-28,12.50,annual,https://www.microsoft.com/en-us/microsoft-365/blog/2021/08/19/new-pricing-for-microsoft-365/
microsoft_365,business_standard,2022-03-01,12.50,annual,https://www.microsoft.com/en-us/microsoft-365/blog/2021/08/19/new-pricing-for-microsoft-365/
microsoft_365,business_standard,2025-04-01,15.00,annual,https://www.microsoft.com/en-us/microsoft-365/business/compare-all-microsoft-365-business-products
microsoft_365,e3,2011-06-28,20.00,annual,https://www.microsoft.com/en-us/microsoft-365/blog/2021/08/19/new-pricing-for-microsoft-365/
microsoft_365,e3,2022-03-01,36.00,annual,https://www.microsoft.com/en-us/microsoft-365/blog/2021/08/19/new-pricing-for-microsoft-365/
microsoft_365,e3_with_copilot_addon,2023-11-01,66.00,annual,https://blogs.microsoft.com/blog/2023/07/18/furthering-our-ai-ambitions-announcing-bing-chat-enterprise-and-microsoft-365-copilot-pricing/
google_workspace,business_standard,2020-10-06,12.00,annual,https://workspace.google.com/blog/product-announcements/introducing-google-workspace
google_workspace,business_standard,2023-04-01,14.40,annual,https://workspace.google.com/blog/product-announcements/google-workspace-pricing-update
google_workspace,business_standard,2025-01-16,14.00,annual,https://workspace.google.com/blog/product-announcements/empowering-businesses-with-AI
slack,pro,2014-02-12,6.67,annual,https://slack.com/pricing
slack,pro,2022-09-01,7.25,annual,https://slack.com/blog/news/pricing-and-plan-updates
slack,pro,2024-07-01,8.75,annual,https://slack.com/pricing
salesforce,sales_cloud_enterprise,2013-01-01,125.00,annual,https://www.salesforce.com/company/news-press/press-releases/2023/07/salesforce-pricing-update/
salesforce,sales_cloud_enterprise,2023-08-01,165.00,annual,https://www.salesforce.com/company/news-press/press-releases/2023/07/salesforce-pricing-update/
salesforce,sales_cloud_enterprise,2025-08-01,175.00,annual,https://www.salesforce.com/news/press-releases/2025/06/24/pricing-update-2025/
zoom,pro,2013-01-01,14.99,monthly,https://zoom.us/pricing
zoom,pro,2023-05-01,15.99,monthly,https://zoom.us/pricing
adobe_creative_cloud,all_apps_individual,2013-05-06,49.99,annual,https://news.adobe.com
adobe_creative_cloud,all_apps_individual,2018-04-16,52.99,annual,https://news.adobe.com
adobe_creative_cloud,all_apps_individual,2023-11-01,59.99,annual,https://helpx.adobe.com/creative-cloud/pricing-update.html
adobe_creative_cloud,all_apps_individual,2025-06-17,69.99,annual,https://helpx.adobe.com/creative-cloud/pricing-update.html
github,team,2019-01-07,9.00,monthly,https://github.blog/2019-01-07-new-year-new-github/
github,team,2020-04-14,4.00,monthly,https://github.blog/2020-04-14-github-is-now-free-for-teams/
github,copilot_business_addon,2023-02-14,19.00,monthly,https://github.blog/2023-02-14-github-copilot-for-business-is-now-available/
atlassian_jira,standard,2019-10-01,7.00,monthly,https://www.atlassian.com/licensing/future-pricing/cloud-pricing-changes
atlassian_jira,standard,2022-10-18,7.75,monthly,https://www.atlassian.com/licensing/future-pricing/cloud-pricing-changes
atlassian_jira,standard,2023-10-18,8.15,monthly,https://www.atlassian.com/licensing/future-pricing/cloud-pricing-changes
atlassian_jira,standard,2024-10-16,8.60,monthly,https://www.atlassian.com/licensing/future-pricing/cloud-pricing-changes
notion,plus,2020-05-19,8.00,annual,https://www.notion.so/pricing
notion,plus,2023-05-01,8.00,annual,https://www.notion.so/pricing
notion,plus_with_ai_addon,2023-05-01,16.00,annual,https://www.notion.so/blog/notion-ai-is-here-for-everyone
notion,business_ai_included,2025-05-13,20.00,annual,https://www.notion.so/pricing
