vendor,model,tier,effective_date,usd_per_1m_input,usd_per_1m_output,source
openai,gpt-3,davinci,2021-11-18,60.00,60.00,https://openai.com/blog/api-no-waitlist
openai,gpt-3,davinci,2022-09-01,20.00,20.00,https://openai.com/blog/api-no-waitlist
openai,gpt-3.5-turbo,,2023-03-01,2.00,2.00,https://openai.com/blog/introducing-chatgpt-and-whisper-apis
openai,gpt-4,8k,2023-03-14,30.00,60.00,https://openai.com/pricing
openai,gpt-3.5-turbo,,2023-06-13,1.50,2.00,https://openai.com/blog/function-calling-and-other-api-updates
openai,gpt-4-turbo,,2023-11-06,10.00,30.00,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
openai,gpt-3.5-turbo,0125,2024-01-25,0.50,1.50,https://openai.com/blog/new-embedding-models-and-api-updates
openai,gpt-4o,,2024-05-13,5.00,15.00,https://openai.com/index/hello-gpt-4o/
openai,gpt-4o-mini,,2024-07-18,0.15,0.60,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
openai,gpt-4o,2024-08-06,2024-08-06,2.50,10.00,https://openai.com/api/pricing/
openai,o1,,2024-12-05,15.00,60.00,https://openai.com/api/pricing/
openai,gpt-4.5-preview,,2025-02-27,75.00,150.00,https://openai.com/index/introducing-gpt-4-5/
openai,gpt-4.1,,2025-04-14,2.00,8.00,https://openai.com/index/gpt-4-1/
openai,o3,,2025-04-16,10.00,40.00,https://openai.com/api/pricing/
openai,o3,price_cut,2025-06-10,2.00,8.00,https://openai.com/api/pricing/
openai,gpt-5,,2025-08-07,1.25,10.00,https://openai.com/index/introducing-gpt-5/
anthropic,claude-2,,2023-07-11,11.02,32.68,https://www.anthropic.com/news/claude-2
anthropic,claude-3-opus,,2024-03-04,15.00,75.00,https://www.anthropic.com/news/claude-3-family
anthropic,claude-3-sonnet,,2024-03-04,3.00,15.00,https://www.anthropic.com/news/claude-3-family
anthropic,claude-3-haiku,,2024-03-13,0.25,1.25,https://www.anthropic.com/news/claude-3-family
anthropic,claude-3.5-sonnet,,2024-06-20,3.00,15.00,https://www.anthropic.com/news/claude-3-5-sonnet
anthropic,claude-sonnet-4,,2025-05-22,3.00,15.00,https://www.anthropic.com/pricing
anthropic,claude-opus-4,,2025-05-22,15.00,75.00,https://www.anthropic.com/pricing
google,gemini-1.5-pro,<=128k,2024-05-14,3.50,10.50,https://ai.google.dev/pricing
google,gemini-1.5-pro,<=128k,2024-10-01,1.25,5.00,https://developers.googleblog.com/en/updated-production-ready-gemini-models-reduced-15-pro-pricing-increased-rate-limits-and-more/
google,gemini-1.5-flash,<=128k,2024-05-14,0.35,1.05,https://ai.google.dev/pricing
google,gemini-1.5-flash,<=128k,2024-08-08,0.075,0.30,https://developers.googleblog.com/en/gemini-15-flash-updates-google-ai-studio-gemini-api/
google,gemini-2.5-pro,<=200k,2025-06-17,1.25,10.00,https://ai.google.dev/gemini-api/docs/pricing
google,gemini-2.5-flash,,2025-06-17,0.30,2.50,https://ai.google.dev/gemini-api/docs/pricing
